Name,Formulations,Class,Condition,Dose,Notes,MOA,Warnings,Cost,Color,CommonlyUsed
Gentamicin,ophthalmic solution,Topical Antibiotic,Infected Ulcer,BID (prophylaxis) - TID,"* Narrow spectrum antibiotic - Gram negative
* Can be used for prophylaxis but since most infections are Gram positive, may not be best choice for empirical/prophylactic use
* There is some concern for gentamicin inhibiting wound healing in cell culture - do not dose excessively
* More appropriate for use if rods are noted on cytology or as indicated by culture. 
* Can be used in combination with a compounded topical beta-lactam (e.g. cephalosporin) for possible synergistic effect - do not combine together, give separately.
",* Aminoglycoside - inhibits bacterial protein synthesis at the 30S ribosome,"* Subconjunctival injection of this antibiotic (with the injectable form) can result in systemic absorption. 
* Is toxic to intraocular structures (epitheliotoxic) and is used as chemical ablation agent in end-stage glaucoma",$,Tan,Common
Tobramycin,ophthalmic solution,Topical Antibiotic,Infected Ulcer,BID (prophylaxis) - TID,"* Narrow spectrum antibiotic - Gram negative
* Can be used for prophylaxis but since most infections are Gram positive, may not be best choice for empirical/prophylactic use
* There is conflicting evidence of tobramycin inhibiting wound healing in cell culture (like its cousin Gentamicin) - do not dose excessively
* More appropriate for use if rods are noted on cytology or as indicated by culture. 
* Can be used in combination with a compounded topical beta-lactam (e.g. cephalosporin) for possible synergistic effect - do not combine together, give separately.
",* Aminoglycoside - inhibits bacterial protein synthesis at the 30S ribosome,* Subconjunctival injection of this antibiotic (with the injectable form) can result in systemic absorption,$,Tan,Common
NeoPolyGram,ophthalmic solution,Topical Antibiotic,"Simple corneal ulcer,Indolent ulcer",BID (prophylaxis),"* Broad spectrum combination (Neo: G-, Poly: G-, Gram: G+)
* The author's preferred prophylactic topical since resistance is less likely with combination of drugs
* Poor penetration through intact epithelium (so not a big deal in superficial ulcers but problematic if trying to treat a corneal abscess)","* Neomycin - aminoglycoside inhibition of protein synthesis (30S)
* Polymixin - detergent that disrupts cell membranes (not cell walls) - best against Gram negative
* Gramicidin - detergent as well but targeted toward Gram positive","* There is a case series reporting anaphylaxis in 61 cats (over a period of 17 years) within 4 hours of exposure to topical antibiotics, all of which contained polymixin; this does not mean you shouldn't use this medication in cats as the reaction is very very rare, but only to dispense antibiotics judiciously (which really you should be doing anyway)",$,Tan,Common
NeoPolyBac,ophthalmic ointment,Topical Antibiotic,"Simple corneal ulcer,Indolent ulcer",BID (prophylaxis),"* Broad spectrum combination (Neo: G-, Poly: G-, Bac: G+)
* The author's preferred prophylactic topical since resistance is less likely with combination of drugs
* Poor penetration through intact epithelium (so not a big deal in superficial ulcers but problematic if trying to treat a corneal abscess)","* Neomycin - aminoglycoside inhibition of protein synthesis (30S)
* Polymixin - detergent that disrupts cell membranes (not cell walls) - best against Gram negative
* Bacitracin - cell wall inhibitor, Gram positive spectrum","* There is a case series reporting anaphylaxis in 61 cats (over a period of 17 years) within 4 hours of exposure to topical antibiotics, all of which contained polymixin; this does not mean you shouldn't use this medication in cats as the reaction is very very rare, but only to dispense antibiotics judiciously (which really you should be doing anyway)",$,Tan,Common
NeoPolyDex,"ophthalmic solution,ophthalmic ointment","Topical Antibiotic,Topical Steroid Anti-inflammatory","Non-ulcerative Keratitis,Conjunctivitis,Eosinophilic keratitis,Keratoconjunctivitis sicca (KCS/Dry Eye),Uveitis,Hyphema,Pannus/Chronic superficial keratitis,Allergic conjunctivitis",BID (mild-moderate) - QID (severe),"* Antibiotic-steroid combination
* Can be used for immune-mediated conditions (e.g. pannus, nodular granulomatous episcleritis) when steroid-alone drops are expensive or unavailable
* Handy where a secondary bacterial infection is also present as well as keratoconjunctivitis such as in chronic dry eye
* Can be used for moderate-severe cases of conjunctivitis","* Neomycin - aminoglycoside inhibition of protein synthesis (30S)
* Polymixin - detergent that disrupts cell membranes (not cell walls) - best against Gram negative
* Dexamethasone - steroidal anti-inflammatory ","* Avoid use in most ulceratitive keratitis unless strongly suspected that the ulcer is secondary to immune-mediated causes (e.g. eosinophilic keratitis)
* Caution in cats - many corneal/conjunctival disease is secondary to infection like herpes and steroid use may cause recrudescence 
* Avoid use in acute cases of dry eye as these eyes are prone to ulcerations (an import corollary to this is to always check tear production in a red eye lest you treat a dry eye with steroids and end up with a horrific ulcer)
* There is a case series reporting anaphylaxis in 61 cats (over a period of 17 years) within 4 hours of exposure to topical antibiotics, all of which contained polymixin; this does not mean you shouldn't use this medication in cats as the reaction is very very rare, but only to dispense antibiotics judiciously (which really you should be doing anyway)",$,Pink,Common
NeoPoly-Hydrocortisone,"ophthalmic solution,ophthalmic ointment","Topical Antibiotic,Topical Steroid Anti-inflammatory","Conjunctivitis,Allergic conjunctivitis",BID,"* Antibiotic-steroid combination
* Hydrocortisone is a very weak steroid so its efficacy in treating immune-mediate disease is slim to none
* Useful for mild conjunctivitis but has limited efficacy otherwise, you're probably better off with NeoPolyDex","* Neomycin - aminoglycoside inhibition of protein synthesis (30S)
* Polymixin - detergent that disrupts cell membranes (not cell walls) - best against Gram negative
* Hydrocortisone - weak steroidal anti-inflammatory",,$,Pink,Uncommon
Ciprofloxacin,ophthalmic solution,Topical Antibiotic,"Infected Ulcer,Corneal perforation,Melting corneal ulcer,Stromal ulcer",BID-QID,"* Broad spectrum antibiotic - relatively good efficacy against Gram positive and negative organisms
* 2nd generation fluoroquinolone
* Has relatively good penetration into the cornea/eye but ofloxacin may be better with ","* 2nd generation fluoroquinolone (FQN)
* Ok gram negative spectrum (gets better with latter generations in FQNs)
* Good corneal penetration but less penetration than ofloxacin potentially (another 2nd gen FQN)
* Inhibits bacterial DNA gyrase",* There are increased reports of resistance in human medicine - use judiciously in cases where infection is known or highly suspected or in high-risk patients,$,Tan,Common
Ofloxacin,ophthalmic solution,Topical Antibiotic,"Infected Ulcer,Corneal perforation,Melting corneal ulcer",BID-QID,"* Broad spectrum antibiotic - relatively good efficacy against Gram positive and negative organisms
* 2nd generation fluoroquinolone
* Good corneal and intraocular penetration (probably up-to but not past the anterior chamber)
* Usually well-tolerated","* 2nd generation fluoroquinolone (FQN)
* Ok gram negative spectrum (gets better with latter generations in FQNs)
* Good corneal penetration
* Inhibits bacterial DNA gyrase",* There are increased reports of resistance in human medicine - use judiciously in cases where infection is known or highly suspected or in high-risk patients,$,Tan,Common
Levofloxacin,ophthalmic solution,Topical Antibiotic,"Infected Ulcer,Corneal perforation,Melting corneal ulcer",BID-QID,"* Broad spectrum antibiotic - relatively good efficacy against Gram positive and negative organisms
* 2nd generation fluoroquinolone
* Good corneal and intraocular penetration (probably up-to but not past the anterior chamber)",* 3rd generation fluoroquinolone (greater G- spectrum compared to earlier generations,"* Use in cases where sensitivities indicate its use (when everything else is resistant)
* Should not be first-line empirical treatment",$-$$,Tan,Uncommon
Moxifloxacin,ophthalmic solution,Topical Antibiotic,"Infected Ulcer,Corneal perforation,Melting corneal ulcer",BID-QID,"* Broad spectrum antibiotic - relatively good efficacy against Gram positive and negative organisms
* 4th generation fluoroquinolone
* Good corneal and intraocular penetration (probably up-to but not past the anterior chamber)",* 4th generation fluoroquinolone,"* Use in cases where sensitivities indicate its use (when everything else is resistant)
* Should not be first-line empirical treatment",$-$$,Tan,Uncommon
Gatifloxacin,ophthalmic solution,Topical Antibiotic,"Infected Ulcer,Corneal perforation,Melting corneal ulcer",BID-QID,"* Broad spectrum antibiotic - relatively good efficacy against Gram positive and negative organisms
* 4th generation fluoroquinolone
* Good corneal and intraocular penetration (probably up-to but not past the anterior chamber)",* 4th generation fluoroquinolone,"* Use in cases where sensitivities indicate its use (when everything else is resistant)
* Should not be first-line empirical treatment",$-$$,Tan,Uncommon
Erythromicin,ophthalmic ointment,Topical Antibiotic,"Conjunctivitis,Simple corneal ulcer",BID,"* Primarily for Gram positive but most often used against intracellular organisms - namely Chlamydia and Mycoplasma in cats
* Bacteriostatic drug so is not first line therapy in cases with active infections unless indicated by culture and sensitivity",* Macrolide antibiotic that binds to 50S subunit,,$,Tan,Common
Oxytetracycline + Polymixin B (Terramycin),ophthalmic ointment,Topical Antibiotic,"Conjunctivitis,Indolent ulcer,Simple corneal ulcer",BID-TID,"* Broad spectrum antibiotic but use is typically limited to intracellular infections (Chlamydia & Mycoplasma in cats)
* Has been reported to be efficacious in healing of indolent ulcers (dogs) in conjunction with debridement (TID dosing frequency)
","* Interferes with bacterial 30S subunit (protein synthesis)
* Tetracyclines in general have been noted to have other beneficial effects: anticollagenase, anti-apoptotic, anti-inflammatory, anti-oxidative; it should be noted that these effects vary depending on the specific form of tetracycline in question (e.g. doxycycline is a more potent inhibitor of MMPs than tetracycline or minocycline)","* While technically broad spectrum, efficacy against ""typical"" bacteria such as Staph, Strep, or Pseudomonas may be limited due to increasing resistance; therefore targeted use is usually toward rickettsial organisms or intracellular bacteria (Chlamydia/Mycoplasma) where resistance is less common",$,Tan,Common
Chloramphenicol,ophthalmic ointment,Topical Antibiotic,Infected Ulcer,BID-TID,"* Has to be ordered from a compounding pharmacy (1% concentration)
* Typically only used when indicated by a culture and sensitivity (i.e. resistance is noted to everything else except chloramphenicol)
* It is broad spectrum and has been shown to be efficacious against most Gram positive and negative bacteria, as well as intracellular bacteria (Chlamydia, Mycoplasma, Rickettsial organisms)
* Importantly, however, resistance has been noted in Pseudomonas (a rarer infection than Staph or Strep, but terrible when present)
* Also used for treatment of corneal abscesses due to good penetration","* Inhibits 50S bacterial ribosomal subunit
* Relatively good penetration in an ointment form ",* Warn owners to use gloves when applying as very rarely people can develop a fatal aplastic anemia from exposure; risk is low but it would not be ideal to have a client die horribly after treating their animal,$$,Tan,Uncommon
Cidofovir,ophthalmic solution,Topical Antiviral,Feline Herpes,BID,"* Has to be ordered from a compounding pharmacy (usually at a 0.5% concentration)
* Long intracellular half-life reduces the frequency of dosing in contrast to other topical anti-virals","* Is a cytosine analogue
* Replacement of cytosine with the active metabolite of cidofovir prevents DNA or RNA replication of the virus",* Can cause nasolacrimal punctal stenosis in people and rabbits but not reported in cats,$$,,Common
